,Game,Player,Salary,Passing Yards,Passing TDs,TD Over Juice,INTs,INTs Over Juice,ExpectedTdPasses,ExpectedInts,PredictedPropsBasedScore,$/DKPoint,Team,PassYards,PassTDs,PassINTs,RushYards,RushTDs,Recs,RecYards,RecTDs,ESPNProj,$/ESPNPoint
160,PHI @ DAL,Dontario Drummond,3000,,,,,,,,,,,,,,,,,,,,
161,NYG @ MIN,Makai Polk,3000,,,,,,,,,,,,,,,,,,,,
162,NYG @ MIN,Wan'Dale Robinson,3000,,,,,,,,,,,,,,,,,,,,
163,DET @ CAR,Derek Wright,3000,,,,,,,,,,,,,,,,,,,,
164,DET @ CAR,Trinity Benson,3000,,,,,,,,,,,,,,,,,,,,
165,NO @ CLE,Deonte Harty,3000,,,,,,,,,,,,,,,,,,,,
166,LV @ PIT,Gunner Olszewski,3000,,,,,,,,,,,,,,,,,,,,
167,TB @ ARI,Kaylon Geiger Sr.,3000,,,,,,,,,,,,,,,,,,,,
168,SEA @ KC,Skyy Moore,3000,,,,,,,,,,,,,,,,,,,,
169,SEA @ KC,Jerrion Ealy,3000,,,,,,,,,,,,,,,,,,,,
170,NO @ CLE,David Bell,3000,,,,,,,,,,,,,,,,,,,,
171,LAC @ IND,Mike Strachan,3000,,,,,,,,,,,,,,,,,,,,
172,HOU @ TEN,Mason Kinsey,3000,,,,,,,,,,,,,,,,,,,,
173,WAS @ SF,Danny Gray,3000,,,,,,,,,,,,,,,,,,,,
174,SEA @ KC,Dareke Young,3000,,,,,,,,,,,,,,,,,,,,
175,ATL @ BAL,Jared Bernhardt,3000,,,,,,,,,,,,,,,,,,,,
176,DEN @ LAR,Kaden Davis,3000,,,,,,,,,,,,,,,,,,,,
177,CIN @ NE,Matthew Slater,3000,,,,,,,,,,,,,,,,,,,,
178,DET @ CAR,Andre Roberts,3000,,,,,,,,,,,,,,,,,,,,
179,BUF @ CHI,John Brown,3000,,,,,,,,,,,,,,,,,,,,
180,LV @ PIT,Albert Wilson,3000,,,,,,,,,,,,,,,,,,,,
181,BUF @ CHI,Jake Kumerow,3000,,,,,,,,,,,,,,,,,,,,
182,JAC @ NYJ,Diontae Spencer,3000,,,,,,,,,,,,,,,,,,,,
183,WAS @ SF,Willie Snead IV,3000,,,,,,,,,,,,,,,,,,,,
